ID;Kategoria;Pytanie;Odpowiedz A;Odpowiedz B;Odpowiedz C;Odpowiedz D;Poprawna odpowiedz
1;Nauka;Który z niżej wymienionych naukowców, był jednym z 3 osób, które skonstruowały pierwszy tranzystor?;;;;;
2;Nauka;Jak nazywa się cząstka bez ładunku w atomie?;Proton;Elektron;Neutron;Jądro;Neutron
3;Nauka;Jaka planeta znajduje się najbliżej Słońca?;Wenus;Ziemia;Mars;Merkury;Merkury
4;Nauka;Jaki gaz przeważa w atmosferze Ziemi?;Tlen;Azot;Dwutlenek węgla;Wodór;Azot
5;Nauka;Ile par chromosomów posiada zdrowy człowiek?;23;46;21;12;23
6;Nauka;Jaka jest prędkość światła w próżni (w przybliżeniu)?;300 000 km/s;150 000 km/s;1000 km/s;300 000 m/s;300 000 km/s
7;Nauka;Jak nazywa się najtwardszy minerał w skali Mohsa?;Kwarc;Topaz;Diament;Korund;Diament
8;Nauka;Ile kości (w przybliżeniu) ma dorosły człowiek?;150;206;300;500;206
9;Nauka;Jaka jest największa planeta w Układzie Słonecznym?;Saturn;Jowisz;Uran;Neptun;Jowisz
10;Nauka;W jakiej jednostce mierzymy siłę?;Wat;Dżul;Niuton;Wolt;Niuton
11;Nauka;Który organ produkuje insulinę?;Wątroba;Nerki;Trzustka;Żołądek;Trzustka
12;Nauka;Jak nazywa się pierwsza owca sklonowana z komórek dorosłych?;Molly;Dolly;Polly;Holly;Dolly
13;Nauka;Jaki metal jest ciekły w temperaturze pokojowej?;Złoto;Ołów;Rtęć;Aluminium;Rtęć
14;Nauka;Jak nazywa się galaktyka, w której żyjemy?;Andromeda;Droga Mleczna;Trójkąt;Wielki Obłok Magellana;Droga Mleczna
15;Nauka;Jaki jest najlżejszy pierwiastek?;Hel;Tlen;Wodór;Lit;Wodór
16;Nauka;Jak nazywa się proces parowania wody z liści roślin?;Transpiracja;Kondensacja;Sublimacja;Ewaporacja;Transpiracja
17;Nauka;Kto sformułował prawo wyporu (ciało zanurzone w cieczy...)?;Pitagoras;Archimedes;Euklides;Platon;Archimedes
18;Nauka;"Co to jest ""czarna dziura""?";Pustka w kosmosie;Obiekt o ogromnej grawitacji;Ciemna gwiazda;Dziura w atmosferze;Obiekt o ogromnej grawitacji
19;Nauka;Jak nazywa się największa tętnica w ciele człowieka?;Żyła główna;Aorta;Tętnica udowa;Tętnica szyjna;Aorta
20;Nauka;Z czego głównie składa się Słońce?;Z węgla i tlenu;Z wodoru i helu;Z żelaza i niklu;Z azotu;Z wodoru i helu
21;Nauka;Jaka jest temperatura zera bezwzględnego (0 Kelvinów)?;-100°C;-273,15°C;0°C;-1000°C;-273,15°C
22;Nauka;Jak nazywa się nauka o owadach?;Ichtiologia;Entomologia;Ornitologia;Herpetologia;Entomologia
23;Nauka;Co przewodzi prąd w metalach?;Protony;Neutrony;Elektrony;Jony;Elektrony
24;Nauka;Jaki kolor ma krew bogata w tlen?;Ciemnoniebieski;Jasnoczerwony;Fioletowy;Bordowy;Jasnoczerwony
25;Nauka;Jak nazywa się urządzenie do pomiaru trzęsień ziemi?;Barometr;Sejsmograf;Termometr;Higrometr;Sejsmograf
26;Nauka;"Jaki gaz nazywamy ""gazem rozweselającym""?";Hel;Podtlenek azotu;Metan;Chlor;Podtlenek azotu
27;Nauka;"Co to jest ""supernowa""?";Nowa gwiazda;Wybuch gwiazdy;Rodzaj komety;Czarna dziura;Wybuch gwiazdy
28;Nauka;"Co to jest ""magma""?";Lawa na powierzchni;Roztopiona skała pod ziemią;Rodzaj minerału;Popiół wulkaniczny;Roztopiona skała pod ziemią
29;Nauka;Jak nazywa się jednostka oporu elektrycznego?;Amper;Wolt;Om;Wat;Om
30;Nauka;"Co to jest ""rok świetlny""?";Jednostka czasu;Jednostka odległości;Jednostka jasności;Jednostka masy;Jednostka odległości
31;Nauka;Która grupa krwi jest uniwersalnym dawcą (krwinek)?;A;B;AB;0 (Rh-);0 (Rh-)
